task_idx,instance_id,pattern_A_Ap_B,A_correct,A_finished,A_stop,A_compactions,A_branches,A_gen_tokens,A_dup_searches,A_searches,A_main_turns,A_peak_ctx,Ap_correct,Ap_finished,Ap_stop,Ap_compactions,Ap_branches,Ap_gen_tokens,Ap_dup_searches,Ap_searches,Ap_main_turns,Ap_peak_ctx,B_correct,B_finished,B_stop,B_compactions,B_branches,B_gen_tokens,B_dup_searches,B_searches,B_main_turns,B_peak_ctx,question_head
40,519,000,0,1,finish,0,5,4915,7,14,6,37581,0,0,llm_none,0,0,2606,2,6,9,37936,0,0,budget_exhausted,3,0,4495,2,9,6,34023,"Sometime before 1960, a couple met for the first time in London at the BBC headq"
41,544,000,0,1,finish,0,10,10368,17,29,12,36844,0,0,llm_none,0,0,3460,0,4,6,38191,0,0,budget_exhausted,3,0,8551,4,13,4,36915,"Before 2023, an individual portrayed a village leader in a film written by multi"
42,550,000,0,1,finish,0,5,5255,7,19,6,36843,0,0,llm_none,0,0,1904,0,3,4,41447,0,0,budget_exhausted,3,0,4365,3,6,4,35301,A sports owner from the 80s funded his team at the time from the money his lover
43,562,001,0,1,finish,0,2,2388,1,5,3,33737,0,1,finish,0,0,4109,0,3,4,32317,1,1,finish,2,0,4625,1,5,6,33577,"According to a biography published in a biographical dictionary in 1993, the sub"
44,257,000,0,1,finish,0,2,6215,0,4,7,30729,0,0,llm_none,0,0,4301,0,3,5,40986,0,1,finish,1,0,7659,1,2,5,32764,"In the 1990s, a graphic novel was published which was a dark tale about a boy’s "
45,262,000,0,1,finish,0,4,4817,8,16,5,35501,0,0,llm_none,0,0,1903,1,4,5,38651,0,0,budget_exhausted,3,0,5310,6,10,7,33314,A well-known landmark in this university was donated by a class of students in t
46,267,101,1,1,finish,0,5,5074,3,16,6,37001,0,0,llm_none,0,0,1898,4,7,10,41592,1,1,finish,0,0,2566,0,2,4,20951,I need help finding the name of the art exhibition I've heard about. My only det
47,270,000,0,1,finish,0,4,6898,6,20,6,36243,0,1,finish,0,0,5745,0,2,7,25445,0,0,no_call_loop,0,0,6144,0,0,3,11348,There is a food dish that was discovered after the 16th century in a city that w
48,276,000,0,1,finish,0,1,3815,0,2,4,22571,0,0,llm_none,0,0,2388,2,4,9,42174,0,0,budget_exhausted,3,0,4031,2,7,5,34664,There was an entrepreneur who was known to exaggerate facts about a particular r
49,286,000,0,1,finish,0,4,4474,5,14,6,37328,0,0,llm_none,0,0,4957,0,4,5,44195,0,0,budget_exhausted,3,0,5607,3,8,6,35033,"A certain artiste born in England made their debut album between 2001 and 2005, "
50,287,000,0,0,llm_none,0,0,6150,0,3,7,39998,0,0,llm_none,0,0,5180,2,4,10,40019,0,1,finish,3,0,7316,4,9,7,35811,Please tell me the date when the author of the book described below was discharg
51,289,001,0,1,finish,0,3,4657,3,9,4,35919,0,0,llm_none,0,0,2906,0,4,4,41816,1,1,finish,1,0,3806,0,6,2,32219,I’m looking for the name and the release year of a TV series released before 200
52,293,000,0,1,finish,0,1,3107,1,5,4,32204,0,0,llm_none,0,0,2048,0,6,2,61923,0,1,finish,2,0,7059,0,4,4,36368,"I'm trying to recall the name of a movie released before Dec 31, 2023, starring "
53,297,000,0,1,finish,0,7,6886,10,21,8,36853,0,0,llm_none,0,0,2409,0,4,3,41478,0,0,budget_exhausted,3,0,7402,5,9,6,35636,There was a fictional character who was a godfather in a movie. The actor in the
54,304,000,0,1,finish,0,8,8725,8,22,9,37526,0,0,llm_none,0,0,1960,3,6,12,41085,0,1,finish,1,0,5889,0,3,4,33388,The artist’s father was a Protestant minister. They had a brief marriage to a co
55,351,000,0,0,llm_none,0,4,5511,14,23,11,42139,0,0,llm_none,0,0,4096,0,5,3,41882,0,0,budget_exhausted,3,0,5051,2,8,5,34841,"Given the following hints that are all true as of 2023, there was an individual "
56,354,000,0,0,llm_none,0,0,3648,2,8,7,43210,0,0,llm_none,0,0,1119,3,8,9,40200,0,1,finish,2,0,3830,4,9,10,34945,It was stated in a 2023 article that a certain individual ventured into a certai
57,362,000,0,1,finish,0,7,7238,7,20,8,37696,0,0,llm_none,0,0,6114,1,3,7,40709,0,0,budget_exhausted,3,0,6378,1,8,6,36554,"I'm looking for the name of a cartoon based on the following details, as of Dece"
58,41,111,1,1,finish,0,1,1418,0,2,2,21187,1,1,finish,0,0,4316,0,2,4,32109,1,1,finish,3,0,3277,3,5,6,30902,"Born in the 1970s, this three-time World Half-Marathon champion, who won their f"
59,46,101,1,1,finish,0,0,2507,0,3,5,18352,0,0,llm_none,0,0,3317,0,4,6,41827,1,1,finish,1,0,2112,1,6,9,30753,What is the full name of a person known for investing in technology businesses? 
60,52,100,1,1,finish,0,2,2896,1,7,4,34167,0,0,llm_none,0,0,2494,0,2,11,38362,0,1,finish,1,0,3334,0,4,2,6720,Identify the company that meets the following criteria:  - An independent non-ex
61,54,000,0,1,finish,0,5,6699,3,13,6,35151,0,1,finish,0,0,4456,1,3,4,35797,0,0,budget_exhausted,3,0,5849,4,12,7,33247,What is the English title of the novel that was first published in French prior 
62,59,000,0,0,llm_none,0,1,2412,1,7,9,41004,0,0,llm_none,0,0,1710,1,3,8,40476,0,1,finish,1,0,4684,0,3,5,32700,Seven people are cited as authoring an article written about a clinical trial be
63,68,000,0,1,finish,0,0,2552,0,2,5,21584,0,0,llm_none,0,0,1020,0,1,15,39120,0,1,finish,0,0,2275,0,2,5,23396,"In a tribute published in the early 2010s in Southern Africa, an accomplished pr"
64,72,101,1,1,finish,0,1,2059,0,2,4,19182,0,0,llm_none,0,0,2272,0,8,15,39519,1,1,finish,0,0,2408,0,3,4,17300,I am looking for a specialty food shop that has at least one location in both Me
65,569,100,1,1,finish,0,3,3831,4,8,4,37373,0,0,llm_none,0,0,951,1,6,16,40149,0,1,finish,0,0,1107,0,1,5,12635,"In the mid-2000s, a specific pet was welcomed by a nursing home at six months ol"
66,576,100,1,1,finish,0,0,4469,0,3,7,28734,0,0,llm_none,0,0,4096,1,5,3,61914,0,0,budget_exhausted,3,0,10384,5,8,8,30147,This historic landmark was founded in the 15th century and underwent a name chan
67,580,100,1,1,finish,0,1,1567,0,3,3,17797,0,0,llm_none,0,0,754,0,5,9,40563,0,0,budget_exhausted,3,0,2758,2,6,5,35694,I want you to find the name of the series that I am talking about. Here are vari
68,581,100,1,1,finish,0,1,4170,0,2,3,19711,0,1,finish,0,0,1660,0,2,2,6884,0,1,finish,0,0,819,0,2,5,23618,"There is a company that is said to produce savory sweets, plain, chocolate-fille"
69,582,000,0,1,finish,0,8,7516,14,26,9,37617,0,0,llm_none,0,0,2410,4,6,9,39975,0,0,budget_exhausted,3,0,7456,5,13,7,35372,"Researcher and author [Person A], born in 1930,  was the editorial successor of "
70,587,000,0,1,finish,0,0,3829,0,2,5,17748,0,1,finish,0,0,4800,0,2,5,26368,0,1,finish,0,0,3777,0,2,4,17018,A Pokemon was used by a competitor in a Pokemon VGC tournament between 2005 and 
71,591,101,1,1,finish,0,1,6387,1,6,5,36538,0,0,llm_none,0,0,4702,0,6,9,40556,1,1,finish,1,0,8999,2,4,10,31960,"The university was established between 2000 and 2003, inclusive. Prior to Decemb"
72,602,110,1,1,finish,0,0,1686,0,2,4,13080,1,1,finish,0,0,3959,0,3,4,32703,0,0,budget_exhausted,3,0,5976,3,8,4,32242,"Between 2015 and 2022, a private hospital experienced a fatal power outage. Appr"
73,625,000,0,1,finish,0,5,6202,2,11,6,36737,0,0,llm_none,0,0,770,1,3,7,40505,0,0,budget_exhausted,3,0,4207,3,7,7,36394,There's a Japanese anime that was first released in the USA between 2000 and 200
74,628,100,1,1,finish,0,4,3594,1,7,5,37233,0,0,llm_none,0,0,1965,0,7,13,39862,0,0,budget_exhausted,3,0,4455,11,16,7,35339,"There is a short film, produced in 2017, with a runtime of 19 minutes, that revo"
75,629,001,0,1,finish,0,6,6216,12,23,7,36909,0,0,llm_none,0,0,1431,1,6,3,38218,1,1,finish,0,0,2007,0,5,5,24839,"As of December 2022, I am looking for the name of a historical landmark that was"
76,644,101,1,1,finish,0,0,1926,0,2,5,20705,0,0,llm_none,0,0,667,1,4,8,46791,1,1,finish,0,0,1127,0,2,5,27157,"In this MMA fight that took place before 2023, the statistics for the loser incl"
77,645,100,1,1,finish,0,0,1876,0,3,5,27206,0,0,llm_none,0,0,1961,3,6,8,43275,0,0,budget_exhausted,3,0,4076,2,5,6,36315,"A genus can be found in the Northern Hemisphere, largely in temperate latitudes,"
78,661,100,1,1,finish,0,1,1965,0,2,3,18769,0,1,finish,0,0,5486,0,2,5,27122,0,1,finish,1,0,3738,0,4,5,32660,An individual was encouraged to use a different tool for their work during the y
79,1176,000,0,1,finish,0,2,5424,1,6,4,34749,0,0,llm_none,0,0,2119,1,5,8,42806,0,1,finish,1,0,7248,0,8,4,29930,Please provide the name of the film with these characteristics:  - Starred only 
80,1182,000,0,1,finish,0,10,10683,14,37,11,37455,0,0,llm_none,0,0,2048,0,5,2,44629,0,1,finish,1,0,5728,1,3,4,35998,This individual was born before 1951 and was the youngest of three siblings. The
81,1188,000,0,1,finish,0,3,4087,1,10,6,36926,0,0,llm_none,0,0,1989,0,4,6,38644,0,0,budget_exhausted,3,0,6978,1,6,3,33568,"A few years ago, I watched a TV series that I absolutely loved, but I have forgo"
82,1195,101,1,1,finish,0,1,2817,0,2,4,20983,0,0,llm_none,0,0,3574,0,1,3,234309,1,1,finish,0,0,1700,0,1,3,19861,I was born in the 20th century (outside the United States) and launched my music
83,1204,001,0,1,finish,0,0,2571,0,3,5,24203,0,0,llm_none,0,0,1974,1,3,8,38958,1,1,finish,1,0,1930,1,5,10,31908,"In a late 20th-century game, my journey began when I emerged from a fictional wo"
84,1209,000,0,1,finish,0,1,4122,1,4,4,37399,0,0,llm_none,0,0,2722,0,3,7,39516,0,0,budget_exhausted,3,0,5182,7,10,10,33989,"This series, released prior to 2015, is known by four other titles. The story fo"
85,1221,100,1,1,finish,0,1,1328,0,1,3,14591,0,0,llm_none,0,0,1514,1,3,7,42475,0,0,budget_exhausted,3,0,4699,1,6,5,33989,"I belong to a fantasy world and became aware of a prophecy involving twin keys, "
86,1222,000,0,1,finish,0,1,4311,0,2,5,28158,0,0,llm_none,0,0,1563,3,5,8,38697,0,1,finish,3,0,4275,3,10,7,36541,"Identify the title of a research publication published before June 2023, that me"
87,1228,000,0,1,finish,0,7,9225,5,17,9,37372,0,0,llm_none,0,0,5076,0,3,8,38828,0,1,finish,3,0,4774,2,6,5,32989,Can you identify a movie based on the following details:  •  This movie was rele
88,1231,000,0,0,llm_none,0,0,2371,0,5,3,38806,0,0,llm_none,0,0,2177,0,4,4,38304,0,0,budget_exhausted,3,0,4252,3,11,10,33778,"As of 2023, identify this movie theater, built and owned by a local in the early"
89,1236,000,0,1,finish,0,3,8810,5,8,9,36088,0,0,llm_none,0,0,6063,0,3,8,42424,0,0,budget_exhausted,3,0,8031,6,10,7,34897,"This series was released before 2018, with each episode running for over an hour"
90,1246,110,1,1,finish,0,2,5086,0,3,5,29382,1,1,finish,0,0,3270,0,3,6,24788,0,0,budget_exhausted,3,0,5637,7,14,8,35582,"Give the name of the game that was released exclusively between 2001 and 2007, i"
91,1263,100,1,1,finish,0,1,2602,0,2,4,22319,0,0,llm_none,0,0,1653,1,5,10,38469,0,0,budget_exhausted,3,0,4476,6,12,8,35595,I am looking for the name of a group of companies that satisfy the following con
92,1266,000,0,1,finish,0,1,8628,0,4,7,29294,0,0,llm_none,0,0,5425,3,5,11,41299,0,0,budget_exhausted,3,0,11060,3,5,6,36259,This foreign individual was born to a businessman in the late 20th century. They
93,882,100,1,1,finish,0,0,1334,0,2,5,24444,0,0,llm_none,0,0,737,0,3,10,41481,0,0,budget_exhausted,3,0,3593,2,6,5,34812,"I’m thinking of two distinct blog posts, written by the same author, in the same"
94,885,001,0,1,finish,0,1,4613,0,3,3,33351,0,0,llm_none,0,0,5315,0,2,4,228057,1,1,finish,0,0,4460,0,1,4,22456,The information I have about an artist is as follows: This artist was born in th
95,886,100,1,1,finish,0,1,1999,0,1,3,15724,0,0,llm_none,0,0,2315,1,4,7,41551,0,0,budget_exhausted,3,0,2959,3,6,5,35280,There is a TV show episode in which one of the main characters undergoes a shift
96,897,000,0,0,llm_none,0,2,3349,1,5,7,38745,0,0,llm_none,0,0,3404,0,5,9,41022,0,1,finish,0,0,2723,0,2,4,18785,An African political leader and doctor was born in the late 1940s. In the early 
97,904,000,0,1,finish,0,9,9540,10,30,10,37449,0,0,llm_none,0,0,3029,1,3,4,38366,0,0,budget_exhausted,3,0,3343,0,8,4,32125,There was a movie that came before 2010 directed by a person who was born in a p
98,906,100,1,1,finish,0,1,4476,0,1,4,17607,0,1,finish,0,0,1329,0,3,5,18066,0,0,budget_exhausted,3,0,7937,0,14,2,31625,"Who founded the company in the European nation, whose watch was worn by the firs"
99,910,101,1,1,finish,0,3,2585,0,3,4,14951,0,0,llm_none,0,0,1052,1,3,18,39631,1,1,finish,0,0,1046,0,2,4,18590,A cleric was murdered after 2005 but before 2020. The incident happened as they 
100,925,111,1,1,finish,0,1,1965,0,1,2,19462,1,1,finish,0,0,1593,0,1,4,17687,1,1,finish,0,0,1276,0,1,4,17642,A very influential figure in the formation of a well-known club was fatally woun
101,926,000,0,0,llm_none,0,0,5532,0,4,5,44157,0,0,llm_none,0,0,4861,1,4,9,46321,0,0,budget_exhausted,3,0,9033,1,6,4,35601,I want the full birth name of this person. This person was born in the 1920s. Th
102,946,110,1,1,finish,0,0,4409,0,2,4,20489,1,1,finish,0,0,6182,1,3,8,34599,0,0,budget_exhausted,3,0,5772,2,6,4,33613,"A band was formed a year before a United States presidential election, and it ha"
103,966,101,1,1,finish,0,1,3035,0,1,3,18964,0,0,llm_none,0,0,2819,2,5,9,41737,1,1,finish,0,0,2573,0,2,5,20834,This building originated in the 12th century. It had a tower added in the 14th c
104,968,101,1,1,finish,0,2,1742,0,2,3,12004,0,0,llm_none,0,0,1569,0,1,8,41279,1,1,finish,1,0,2770,0,2,6,30969,There is an insect that is loved and enjoyed by many people in African countries
105,976,101,1,1,finish,0,2,3099,0,5,3,37345,0,0,llm_none,0,0,2858,0,7,7,41304,1,1,finish,0,0,3641,0,1,3,18698,Please provide the month and year of birth for this individual. They served as t
106,673,000,0,1,finish,0,5,4616,8,18,6,37064,0,0,llm_none,0,0,3327,0,4,6,43683,0,0,budget_exhausted,3,0,3910,11,14,8,34121,"After the death of which poetess, her recordings of large number of poems were d"
107,714,000,0,1,finish,0,6,7628,6,18,8,36260,0,0,llm_none,0,0,3609,0,6,9,42485,0,1,finish,1,0,4672,1,6,6,35462,"Can you identify the last name of the author of a thesis that focused on ethics,"
108,718,000,0,1,finish,0,7,9623,6,17,11,37056,0,0,llm_none,0,0,4072,3,6,3,48962,0,0,budget_exhausted,3,0,5649,2,8,6,33133,A writer and producer was born in the late 1920s under the zodiac sign Libra. Th
109,722,100,1,1,finish,0,1,2277,0,1,3,15617,0,0,llm_none,0,0,1139,1,2,14,40093,0,0,budget_exhausted,3,0,5442,2,6,9,33554,"As of December 2023, this individual: - This individual is a graduate with highe"
110,724,000,0,1,finish,0,7,6699,7,17,8,36944,0,0,llm_none,0,0,4374,1,3,6,38574,0,1,finish,1,0,5757,1,3,4,35535,Provide the full name (do not include any academic or professional titles) of a 
111,728,100,1,1,finish,0,0,2951,0,3,6,22907,0,0,llm_none,0,0,1602,4,7,12,42664,0,0,budget_exhausted,3,0,5012,8,17,22,35311,A 2021 review was written for a historical strategy game that was released earli
112,731,000,0,0,llm_none,0,0,4451,1,4,5,45787,0,0,llm_none,0,0,3518,0,3,5,45987,0,1,finish,0,0,3908,0,2,4,28248,A species was described and named for the first time in the 1780s by a naturalis
113,734,000,0,1,finish,0,3,5423,2,10,8,36135,0,0,llm_none,0,0,4694,2,7,8,40904,0,0,budget_exhausted,3,0,8700,2,5,5,35003,An actress born in a city whose flag bears a legendary creature was seen in a sh
114,735,111,1,1,finish,0,1,2224,0,1,4,15365,1,1,finish,0,0,962,0,1,3,14159,1,1,finish,0,0,1069,0,1,3,14263,Several individuals in their pre-teen and teenage years were arrested because th
115,738,000,0,0,llm_none,0,0,5777,0,4,7,44924,0,0,llm_none,0,0,1132,0,4,5,39217,0,0,budget_exhausted,3,0,6820,4,10,7,35722,"A volleyball game took place after 2010 but before 2023, where the winning team "
116,741,000,0,0,llm_none,0,0,2743,0,4,5,42320,0,0,llm_none,0,0,2349,4,7,8,42479,0,0,budget_exhausted,3,0,4191,1,7,4,32887,"A specific person, who will be referred to as person 1 from now on, passed away "
117,753,101,1,1,finish,0,4,6891,2,7,7,32236,0,0,llm_none,0,0,5257,1,4,10,39014,1,1,finish,1,0,6741,0,2,5,32182,"A specific sports team was founded between 2010 and 2015, both years inclusive, "
118,768,101,1,1,finish,0,4,3962,0,7,5,37143,0,0,llm_none,0,0,1867,4,7,11,43208,1,1,finish,2,0,4772,0,3,5,34826,"There is this band, and it is difficult to remember their name. Can you help?   "
119,178,100,1,1,finish,0,1,3127,3,6,4,35705,0,0,llm_none,0,0,895,4,6,12,38207,0,0,budget_exhausted,3,0,4754,9,14,8,33707,"In 2006, an EU-funded project with a budget of Є1.30 million was launched and co"
120,192,000,0,1,finish,0,4,5917,6,13,6,35533,0,0,llm_none,0,0,3164,0,6,11,41272,0,1,finish,2,0,9697,0,6,3,33917,There was an artist who passed away after 2010 but before 2023. Some of this ind
121,196,000,0,1,finish,0,4,4169,10,15,5,37727,0,0,llm_none,0,0,2575,0,4,6,45947,0,0,budget_exhausted,3,0,6008,8,15,5,36005,"Hey Chat, I'm trying to remember someone's stage name. Can you tell me what it i"
122,203,000,0,1,finish,0,1,1865,0,5,4,25577,0,0,llm_none,0,0,2084,0,5,4,39609,0,0,budget_exhausted,3,0,3232,8,13,8,33891,"A publication, prior to 2023, featured accounts of several unique individuals, i"
123,205,000,0,1,finish,0,1,2155,0,1,3,15955,0,0,llm_none,0,0,2639,0,5,10,38681,0,0,budget_exhausted,3,0,5187,9,11,7,33993,A new school was founded in the '90s by combining a girls' and boys' school to f
124,122,000,0,0,llm_none,0,1,2128,4,6,5,40117,0,0,llm_none,0,0,1886,2,4,5,47151,0,1,finish,1,0,5114,0,4,3,32428,I'm looking for the year of death of a person who was born between 1948 and 1952
125,128,000,0,1,finish,0,0,5685,0,2,5,33134,0,0,llm_none,0,0,3531,1,4,9,38430,0,1,finish,2,0,6421,1,7,7,30816,"An article was published in November of 2019, by a media company founded in the "
126,138,000,0,1,finish,0,4,8911,3,11,7,35205,0,0,llm_none,0,0,7460,0,3,8,38984,0,0,budget_exhausted,3,0,8184,4,6,5,35068,The was a movie released before 2022 that fits in the below criteria:  - In this
